city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,walvis bay,-22.96,14.51,18.44,72,55,4.6,NA,1609519515
91,te anau,-45.42,167.72,10.03,92,99,2.04,NZ,1609519394
92,shetpe,44.17,52.12,-0.65,80,83,8.95,KZ,1609519516
93,buala,-8.14,159.59,27.09,75,46,2.17,SB,1609519516
94,avera,33.19,-82.53,19.3,90,90,4.1,US,1609519516
95,safaga,26.73,33.94,22.0,56,0,3.6,EG,1609519516
96,le tampon,-21.27,55.52,23.84,78,0,3.1,RE,1609519516
97,saskylakh,71.92,114.08,-26.04,86,100,8.08,RU,1609519516
98,oranjemund,-28.55,16.43,19.09,67,4,11.76,NA,1609519516
99,sydney,-33.87,151.21,17.38,77,75,3.1,AU,1609519316
100,adrar,20.5,-10.07,22.69,23,0,5.16,MR,1609519516
101,sao felix do xingu,-6.64,-51.99,34.65,44,5,1.19,BR,1609519517
102,santiago del estero,-27.8,-64.26,33.89,33,3,2.24,AR,1609519362
103,sibolga,1.74,98.78,25.52,82,100,1.16,ID,1609519517
104,tessalit,20.2,1.01,27.39,19,8,5.82,ML,1609519517
105,thompson,55.74,-97.86,-15.0,92,90,1.0,CA,1609519490
106,georgetown,5.41,100.34,26.25,78,20,2.6,MY,1609519411
107,riihimaki,60.74,24.78,1.68,93,100,0.84,FI,1609519517
108,plattsburgh,44.7,-73.45,0.29,89,90,3.6,US,1609519517
109,fukue,32.69,128.84,8.95,71,94,7.25,JP,1609519517
110,okhotsk,59.38,143.3,-21.12,79,90,6.77,RU,1609519422
111,arlit,18.74,7.39,26.32,17,0,2.06,NE,1609519414
112,ambilobe,-13.2,49.05,24.78,86,52,0.51,MG,1609519518
113,kharan,28.58,65.42,6.87,46,4,1.83,PK,1609519518
114,vardo,70.37,31.11,-2.0,92,75,9.3,NO,1609519518
115,hamilton,39.18,-84.53,2.44,93,90,3.39,US,1609519507
116,camapua,-19.53,-54.04,33.18,41,69,2.61,BR,1609519518
117,qaanaaq,77.48,-69.36,-11.62,88,100,2.42,GL,1609519394
118,ruteng,-8.61,120.47,17.27,99,89,0.54,ID,1609519518
119,conceicao do araguaia,-8.26,-49.26,34.28,47,0,1.8,BR,1609519518
120,jampur,29.64,70.6,12.18,33,0,3.1,PK,1609519518
121,bambanglipuro,-7.95,110.28,24.19,91,100,4.24,ID,1609519409
122,sovetskiy,61.36,63.58,-33.0,85,0,0.68,RU,1609519519
123,cidreira,-30.18,-50.21,23.63,49,0,4.39,BR,1609519519
124,taicheng,38.73,113.23,-8.89,77,0,1.47,CN,1609519519
125,albany,42.6,-73.97,0.46,58,70,1.17,US,1609519313
126,ancud,-41.87,-73.82,17.57,59,0,3.1,CL,1609519395
127,atar,20.52,-13.05,24.55,21,0,6.43,MR,1609519519
128,luwuk,-0.95,122.79,25.57,75,100,1.72,ID,1609519519
129,guerrero negro,27.98,-114.06,16.82,37,0,5.65,MX,1609519519
130,igarka,67.47,86.58,-32.19,76,30,1.32,RU,1609519519
131,vilyuysk,63.76,121.62,-34.22,84,98,2.62,RU,1609519520
132,dauriya,49.93,116.87,-27.78,84,0,3.37,RU,1609519520
133,puerto rico,-26.8,-55.02,34.94,18,0,1.79,AR,1609519520
134,college,64.86,-147.8,-18.04,69,20,1.84,US,1609519454
135,hostinne,50.54,15.72,-2.34,93,92,1.13,CZ,1609519520
136,chapais,49.78,-74.85,-12.0,85,90,4.6,CA,1609519520
137,escanaba,45.75,-87.06,-5.73,92,90,1.38,US,1609519224
138,kvarkeno,52.08,59.73,-15.99,92,100,2.52,RU,1609519520
139,rio grande,-32.03,-52.1,30.29,23,0,2.37,BR,1609519327
140,mashhad,36.3,59.61,1.0,50,0,3.1,IR,1609519476
141,srednekolymsk,67.45,153.68,-35.98,84,100,0.38,RU,1609519520
142,waipawa,-41.41,175.52,15.28,93,100,4.6,NZ,1609519521
143,fuji,35.17,138.68,-0.91,77,0,0.89,JP,1609519521
144,clyde river,70.47,-68.59,-25.0,75,1,1.5,CA,1609519489
145,mamurras,41.58,19.69,9.0,76,40,1.0,AL,1609519521
146,korla,41.76,86.15,-8.24,88,100,0.95,CN,1609519521
147,arman,59.7,150.17,-23.59,78,33,6.17,RU,1609519521
148,dingle,11.0,122.67,23.98,91,78,3.47,PH,1609519521
149,redlands,34.06,-117.18,12.1,24,1,8.7,US,1609519302
150,chilca,-12.52,-76.74,22.82,73,75,5.1,PE,1609519521
151,chilliwack,49.17,-121.94,4.97,93,100,2.6,CA,1609519521
152,hai duong,20.93,106.32,11.63,76,0,2.6,VN,1609519521
153,namibe,-15.2,12.15,22.19,75,100,4.72,AO,1609519522
154,mbarara,-0.61,30.65,17.12,91,100,0.4,UG,1609519522
155,laguna,38.42,-121.42,5.66,87,90,2.1,US,1609519522
156,changli,39.7,119.15,-9.59,90,26,2.66,CN,1609519522
157,puerto baquerizo moreno,-0.9,-89.6,25.0,83,40,5.1,EC,1609519522
158,soure,-0.72,-48.52,29.1,66,91,2.54,BR,1609519522
159,talara,-4.58,-81.27,28.0,54,0,7.2,PE,1609519240
160,berbera,10.44,45.01,24.72,72,83,6.07,SO,1609519522
161,saldanha,-33.01,17.94,24.0,38,0,10.3,ZA,1609519522
